City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Egvekinot,RU,2020-02-17 21:16:21,66.32,-179.17,-20.87,94,78,14.52
227,Upernavik,GL,2020-02-17 21:16:21,72.79,-56.15,1.81,91,100,2.37
228,Koumac,NC,2020-02-17 21:16:21,-20.57,164.28,75.16,83,26,4.16
229,Kupang,ID,2020-02-17 21:13:49,-10.17,123.58,84.16,75,55,7.87
230,Esperance,AU,2020-02-17 21:13:55,-33.87,121.9,59.0,62,90,4.7
231,Turiacu,BR,2020-02-17 21:16:22,-1.66,-45.37,77.43,93,98,5.46
232,Regenstauf,DE,2020-02-17 21:16:22,49.12,12.13,45.0,100,90,4.7
233,Flin Flon,CA,2020-02-17 21:16:22,54.77,-101.86,-2.2,64,90,9.17
234,Agalatovo,RU,2020-02-17 21:16:22,60.22,30.27,41.0,71,40,15.66
235,Pallasovka,RU,2020-02-17 21:16:23,50.05,46.88,28.9,78,99,14.43
236,Okha,RU,2020-02-17 21:16:23,53.57,142.95,-10.71,99,0,5.26
237,Simplicio Mendes,BR,2020-02-17 21:16:23,-7.85,-41.91,80.13,68,42,2.75
238,Houston,US,2020-02-17 21:13:08,29.76,-95.36,82.0,61,75,19.46
239,Sokoto,NG,2020-02-17 21:16:23,13.06,5.24,75.34,15,0,11.43
240,Chokurdakh,RU,2020-02-17 21:16:24,70.63,147.92,-2.18,97,98,5.61
241,Half Moon Bay,US,2020-02-17 21:16:24,37.46,-122.43,73.0,67,1,14.99
242,Amapa,BR,2020-02-17 21:16:24,1.0,-52.0,78.98,77,63,3.89
243,Smithers,CA,2020-02-17 21:15:12,54.78,-127.17,33.8,59,75,3.36
244,Goderich,CA,2020-02-17 21:16:25,43.75,-81.72,30.99,60,72,9.48
245,Pahrump,US,2020-02-17 21:14:22,36.21,-115.98,68.0,11,1,3.36
246,Kontagora,NG,2020-02-17 21:16:25,10.4,5.47,80.04,12,100,4.9
247,Port Blair,IN,2020-02-17 21:13:02,11.67,92.75,78.62,58,60,9.15
248,Jennings,US,2020-02-17 21:16:26,38.72,-90.26,53.01,93,90,5.82
249,Touho,NC,2020-02-17 21:16:26,-20.78,165.23,76.41,78,4,5.06
250,Bandundu,CD,2020-02-17 21:16:26,-3.32,17.37,75.13,92,100,5.68
251,Nelson Bay,AU,2020-02-17 21:16:26,-32.72,152.15,70.0,100,75,2.24
252,Dwarka,IN,2020-02-17 21:16:26,22.24,68.97,76.03,56,0,15.5
253,Bengkulu,ID,2020-02-17 21:16:27,-3.8,102.27,74.91,83,100,3.31
254,Shelburne,CA,2020-02-17 21:15:28,44.08,-80.2,33.01,53,20,9.17
255,Cidreira,BR,2020-02-17 21:13:55,-30.18,-50.21,77.5,88,70,18.03
256,Viseu,PT,2020-02-17 21:16:27,40.66,-7.91,52.0,39,0,5.01
257,Kushmurun,KZ,2020-02-17 21:16:27,52.45,64.63,6.17,95,32,9.4
258,Nagato,JP,2020-02-17 21:16:28,34.38,131.2,35.6,59,75,14.99
259,Axim,GH,2020-02-17 21:16:28,4.87,-2.24,79.68,83,70,6.87
260,Sakakah,SA,2020-02-17 21:15:47,29.97,40.21,51.8,71,0,4.7
261,Tiksi,RU,2020-02-17 21:16:28,71.69,128.87,-12.26,89,99,6.62
262,Takasaki,JP,2020-02-17 21:16:29,36.33,139.02,33.01,84,74,6.17
263,Kapuskasing,CA,2020-02-17 21:16:29,49.42,-82.43,17.6,57,75,12.75
264,Mocuba,MZ,2020-02-17 21:16:30,-16.84,36.99,72.79,96,72,1.72
265,Wanaka,NZ,2020-02-17 21:16:22,-44.7,169.15,66.99,81,94,1.01
266,Omsukchan,RU,2020-02-17 21:14:39,62.53,155.8,-23.06,100,94,4.72
267,Raha,IN,2020-02-17 21:16:30,26.23,92.52,63.0,78,48,3.22
268,Dingle,PH,2020-02-17 21:16:30,11.0,122.67,70.74,88,39,10.85
269,Bambanglipuro,ID,2020-02-17 21:16:31,-7.95,110.28,73.71,88,82,2.93
270,Zhangzhou,CN,2020-02-17 21:16:31,24.51,117.66,48.2,61,0,13.42
271,Fallon,US,2020-02-17 21:15:05,39.47,-118.78,55.0,17,1,9.17
272,Isla Vista,US,2020-02-17 21:16:31,34.41,-119.86,72.0,52,1,3.36
273,Kolpny,RU,2020-02-17 21:16:31,52.23,37.04,34.99,81,100,18.43
274,Nizhniy Chir,RU,2020-02-17 21:16:32,48.36,43.09,31.77,87,67,12.84
275,Yarega,RU,2020-02-17 21:16:32,63.44,53.58,34.14,97,100,16.33
276,Prescott Valley,US,2020-02-17 21:16:32,34.59,-112.33,66.99,35,1,4.7
277,Rocha,UY,2020-02-17 21:12:26,-34.48,-54.33,88.74,51,98,13.29
278,San Pedro,PH,2020-02-17 21:16:33,14.35,121.02,78.8,74,75,3.36
279,Kapit,MY,2020-02-17 21:16:33,2.02,112.93,69.93,99,100,1.12
280,Torbay,CA,2020-02-17 21:16:33,47.67,-52.73,34.0,97,90,5.7
281,Vao,NC,2020-02-17 21:15:34,-22.67,167.48,79.48,79,0,18.05
282,Ayr,GB,2020-02-17 21:16:34,55.46,-4.63,41.0,86,40,21.92
283,Were Ilu,ET,2020-02-17 21:16:05,10.6,39.43,58.14,67,0,4.92
284,Nome,US,2020-02-17 21:16:34,64.5,-165.41,19.4,73,90,23.04
285,Erdaojiang,CN,2020-02-17 21:16:34,41.78,126.03,-7.53,89,0,3.67
286,Locri,IT,2020-02-17 21:16:34,38.24,16.26,55.99,81,20,4.7
287,Sawtell,AU,2020-02-17 21:16:35,-30.38,153.1,71.6,83,20,8.05
288,Port Lincoln,AU,2020-02-17 21:16:35,-34.73,135.87,61.61,72,33,22.7
289,Christchurch,NZ,2020-02-17 21:12:36,-43.53,172.63,72.0,88,53,12.75
290,Puerto Baquerizo Moreno,EC,2020-02-17 21:16:35,-0.9,-89.6,86.0,70,20,17.22
291,Baruun-Urt,MN,2020-02-17 21:16:35,46.68,113.28,8.1,75,100,2.33
292,Taltal,CL,2020-02-17 21:16:36,-25.4,-70.48,70.7,66,0,7.94
293,Lagoa,PT,2020-02-17 21:15:31,39.05,-27.98,56.53,58,33,7.07
294,Maldonado,UY,2020-02-17 21:16:36,-34.67,-54.92,84.2,74,75,5.82
295,Gemlik,TR,2020-02-17 21:16:36,40.43,29.16,44.6,86,0,4.97
296,Olafsvik,IS,2020-02-17 21:16:37,64.89,-23.71,32.23,78,100,22.24
297,Warwick,US,2020-02-17 21:16:37,41.7,-71.42,48.0,35,1,11.41
298,Suntar,RU,2020-02-17 21:16:37,62.14,117.63,-1.52,95,100,7.76
299,Maumere,ID,2020-02-17 21:16:37,-8.62,122.21,77.81,81,100,4.5
300,Vila Velha,BR,2020-02-17 21:13:56,-20.33,-40.29,82.4,78,75,12.75
301,Kuhdasht,IR,2020-02-17 21:16:38,33.53,47.61,41.86,82,43,4.83
302,Ampanihy,MG,2020-02-17 21:16:38,-24.7,44.75,77.02,72,94,5.32
303,Aqtobe,KZ,2020-02-17 21:14:52,50.28,57.21,23.0,85,90,8.95
304,Ponta Do Sol,PT,2020-02-17 21:14:27,32.67,-17.1,64.4,72,20,14.99
